id,loan_amnt,funded_amnt,int_rate,installment,emp_length,annual_inc,loan_status
1052996,7200,7200,12.42,240.59,5,48000,Low Risk
1067818,5600,5600,14.65,193.17,1,85000,High Risk
1064842,12000,12000,14.27,411.71,1,57000,Low Risk
1067109,8500,8500,6.03,258.71,2,25000,Low Risk
1067971,8000,8000,9.91,257.8,2,34000,Low Risk
1057518,8000,8000,12.42,267.33,10,40000,Low Risk
1067473,16000,16000,15.27,382.92,10,42656.4,Low Risk
1062177,15000,15000,17.27,536.81,2,44400,Low Risk
1067447,10000,10000,9.91,322.25,2,30000,Low Risk
1059412,10000,10000,6.62,307.04,5,70000,Low Risk
1062608,8000,8000,14.65,275.96,3,28000,Low Risk
1067664,22000,22000,9.91,708.95,2,50000,Low Risk
1067441,6000,6000,14.27,205.86,10,94800,Low Risk
1067654,16000,16000,9.91,339.25,10,40000,Low Risk
1062288,13500,13500,9.91,435.04,2,36000,Low Risk
1067434,25000,25000,12.42,835.39,2,225000,Low Risk
1067419,10000,10000,13.49,339.31,2,45900,Low Risk
1067601,2500,2500,13.49,84.83,4,27200,Low Risk
1067579,7325,7325,12.69,245.72,1,42000,Low Risk
1067563,4000,4000,12.42,133.67,5,135000,Low Risk
1067364,10000,10000,13.49,339.31,5,65000,High Risk
1067152,7750,7750,17.27,277.36,1,24000,High Risk
1062471,20000,20000,20.89,539.84,6,70000,High Risk
1066842,9600,9600,12.42,320.79,10,65000,Low Risk
1067126,21000,21000,11.71,464.07,3,60000,High Risk
1067326,14000,14000,10.65,456.03,3,30000,Low Risk
1066789,13350,13350,12.42,446.1,10,43000,Low Risk
1067324,15000,15000,16.77,533.08,10,42000,High Risk
1067102,15000,15000,17.27,536.81,8,75000,High Risk
1046969,11000,11000,13.49,253.06,10,129000,Medium Risk
1067084,35000,35000,10.65,1140.07,2,168000,Low Risk
1067090,9000,9000,10.65,293.16,9,74000,Low Risk
1060875,22475,22475,15.27,537.87,7,52000,Low Risk
1067265,16000,16000,12.69,536.72,1,58500,High Risk
1067287,13500,13500,12.69,452.86,5,71000,Low Risk
1067066,24000,24000,12.69,805.08,10,75000,Low Risk
1067283,12000,12000,10.65,390.88,5,60000,Low Risk
1067266,8400,8400,16.77,207.73,5,87996,Low Risk
1066635,28000,28000,17.58,704.64,5,140000,Low Risk
1067026,14000,14000,6.62,429.86,10,66000,Low Risk
1067038,12000,12000,14.27,411.71,8,70000,High Risk
1067030,25000,25000,11.71,826.9,10,100000,Low Risk
1065350,9000,9000,12.69,301.91,5,50000,Low Risk
1067028,13250,13250,10.65,431.6,4,35000,Low Risk
1061877,20000,20000,13.49,678.61,6,75000,Low Risk
1067018,3000,3000,14.65,103.49,5,71000,Low Risk
1067223,7350,7350,10.65,239.42,10,48000,Low Risk
1067004,11500,11500,15.27,400.18,5,36000,Low Risk
1031265,13650,13650,12.42,456.12,10,86000,High Risk
1066835,10500,10500,16.29,370.66,3,30000,High Risk
1067181,12000,12000,9.91,386.7,2,60000,Low Risk
1067179,6000,6000,8.9,190.52,3,34000,Low Risk
1067172,11500,11500,15.27,400.18,10,44200,Low Risk
1066712,7000,7000,12.42,233.91,7,82000,Low Risk
1066706,29500,29500,20.3,786.51,6,83000,Low Risk
1066836,2000,2000,15.27,69.6,2,41000,Low Risk
1066826,11625,11625,13.49,394.45,1,36000,Low Risk
1063280,15075,15075,14.27,517.21,10,35000,High Risk
1057447,5300,5300,15.27,184.43,1,30000,Low Risk
1040867,8200,8200,6.62,251.77,1,40000,Low Risk
1065232,12000,12000,12.42,400.99,9,105000,Low Risk
1052492,8650,8650,14.27,296.78,4,45000,Low Risk
1066664,21000,11800,17.27,294.98,10,109000,Medium Risk
1066659,16000,16000,17.27,399.97,2,50000,Medium Risk
1066763,12000,12000,12.42,400.99,2,83000,Low Risk
1066798,9500,9500,12.69,318.68,1,52500,High Risk
1066639,7400,7400,13.49,251.09,1,25000,Low Risk
1066633,14400,14400,13.49,488.6,10,60000,Low Risk
1060644,24250,18100,23.91,519.76,7,120000,Low Risk
1066766,7200,7200,7.9,225.29,3,68000,High Risk
1066613,26000,26000,16.77,642.96,10,53000,High Risk
1065648,7000,7000,11.71,154.69,6,69600,High Risk
1066768,4000,4000,7.51,124.45,1,65000,Low Risk
1066617,1500,1500,17.27,53.69,10,144000,Low Risk
1062015,19600,19600,12.42,654.94,2,75000,Low Risk
1066598,2500,2500,11.71,82.69,7,29000,Low Risk
1066503,10000,10000,12.69,335.45,2,70000,High Risk
1066530,10000,10000,6.62,307.04,5,45000,Low Risk
1066520,4225,4225,12.42,141.18,5,55200,Low Risk
1065929,3500,3500,7.9,109.52,7,61440,Low Risk
1066582,12000,12000,6.62,368.45,10,56000,Low Risk
1066348,16500,16500,8.9,523.93,1,47000,Low Risk
1061430,22000,22000,21.67,603.5,1,55000,Low Risk
1061519,12000,12000,14.65,413.94,1,71000,Low Risk
1066344,15600,15600,12.69,352.48,10,50000,High Risk
1066480,10800,10800,12.42,360.89,8,135000,Low Risk
1066471,14000,14000,12.42,467.82,10,63000,Low Risk
1064063,18825,18825,17.58,473.75,4,44000,Medium Risk
1066318,6000,6000,13.49,203.59,5,50000,Low Risk
1066453,12000,12000,9.91,386.7,5,80000,Low Risk
1063090,10000,10000,12.42,334.16,4,45000,Low Risk
1061406,8000,8000,7.9,250.33,2,78000,Low Risk
1066278,14125,14125,9.91,455.18,1,33000,Low Risk
1066281,14000,14000,12.69,469.63,5,62800,Low Risk
1056150,13200,8975,17.27,224.36,3,26400,Low Risk
1066434,4000,4000,19.03,146.69,10,80000,Low Risk
1048526,4000,4000,12.69,134.18,2,25000,High Risk
1028566,10500,10500,6.03,319.58,10,65000,Low Risk
1066424,5500,5500,7.9,172.1,10,59000,Low Risk
1066212,7350,7350,11.71,243.11,1,33000,Low Risk
1066232,10000,10000,12.42,334.16,10,39000,High Risk
1056219,12000,12000,7.51,373.33,10,42000,Low Risk
1066199,5000,5000,11.71,110.5,5,38004,Low Risk
1060851,8000,8000,11.71,176.79,3,31000,Low Risk
972383,4500,4500,8.9,142.89,10,50700,Low Risk
1066191,18000,18000,12.42,601.48,1,75000,Low Risk
1066173,12300,12300,13.49,282.96,2,30000,Medium Risk
1066379,12000,12000,13.49,407.17,6,40000,Low Risk
1066364,10000,10000,13.49,339.31,10,50000,Low Risk
1066140,6000,6000,7.9,187.75,7,80000,Low Risk
1066171,12000,12000,12.69,402.54,4,40000,Low Risk
1066162,12000,12000,8.9,381.04,7,80000,High Risk
1040154,7000,7000,11.71,231.54,2,75000,Low Risk
1066155,35000,26825,18.64,690.56,8,85000,Low Risk
1065382,1400,1400,7.9,43.81,1,28800,Low Risk
1063447,16000,16000,13.49,368.08,10,35000,High Risk
1065932,3200,3200,9.91,103.12,9,61200,Low Risk
1065936,8000,8000,7.9,250.33,1,40000,Low Risk
1066112,11875,11875,12.69,268.32,1,25920,High Risk
1066084,5000,5000,6.03,152.18,9,54000,Low Risk
1066081,1800,1800,6.62,55.27,10,18000,Low Risk
1065896,35000,35000,8.9,1111.37,5,85000,Low Risk
1066065,18000,18000,8.9,571.56,5,78000,Low Risk
1066071,14000,14000,7.9,438.07,10,45600,High Risk
1062094,5000,5000,12.42,167.08,2,70000,Low Risk
1061154,8000,8000,15.96,281.1,4,70000,Low Risk
1066061,10000,10000,6.03,304.36,9,80000,Low Risk
1065863,10000,10000,7.51,311.11,5,50000,Low Risk
1065862,12000,12000,12.42,400.99,10,35000,Low Risk
1065854,23200,23200,7.9,725.94,3,65000,Low Risk
1065145,18000,18000,15.27,430.78,1,84000,Medium Risk
1062260,4800,4800,15.27,167.03,10,75000,Low Risk
1065842,7300,7300,11.71,241.46,6,35000,Low Risk
1066018,10400,10400,9.91,335.14,6,40000,Low Risk
1049352,6600,6600,9.91,212.69,1,100000,Low Risk
1066016,12000,12000,8.9,381.04,7,40000,Low Risk
1065997,13250,13250,17.27,474.19,10,52000,Low Risk
1061891,12000,12000,11.71,396.92,3,92500,Low Risk
1065752,25000,25000,9.91,805.63,9,61000,Low Risk
1063126,6000,6000,10.65,195.44,10,36000,Low Risk
1065738,12000,12000,7.51,373.33,10,68000,Low Risk
1061467,14400,14400,11.71,476.3,1,80000,Low Risk
1065721,10000,10000,12.42,334.16,10,43000,Low Risk
1065717,8000,8000,11.71,264.61,1,150000,Low Risk
1065026,8000,8000,16.29,282.41,5,50000,High Risk
1057001,30000,30000,12.42,673.72,3,70000,High Risk
1065513,18000,18000,16.77,445.13,6,40000,High Risk
1065698,13250,13250,11.71,438.26,2,35000,Low Risk
1065681,14000,14000,14.27,480.33,6,80000,Low Risk
1061788,20000,20000,20.3,533.23,10,59000,High Risk
1065484,10000,10000,16.29,353.01,10,40000,Low Risk
1061681,35000,23250,20.3,619.88,5,85000,Low Risk
1065661,4000,4000,6.03,121.75,1,55000,Low Risk
1065663,13000,13000,9.91,418.93,6,110000,Low Risk
1065480,28000,28000,12.69,939.26,5,100000,Low Risk
1065658,10000,10000,13.49,339.31,3,62000,Low Risk
1065447,20000,20000,7.9,625.81,1,45000,Low Risk
1065470,18000,18000,9.91,580.05,5,110000,Low Risk
1065467,9000,9000,19.91,238,3,60000,High Risk
1065649,25000,25000,18.64,643.58,10,61500,High Risk
1065430,10000,10000,11.71,330.76,3,33000,Low Risk
1059462,4200,4200,6.03,127.83,3,61000,Low Risk
1064102,20000,20000,15.27,478.64,10,78216,High Risk
1062399,18000,18000,17.27,449.97,1,62000,High Risk
1065572,24000,24000,16.29,847.21,2,50964,Low Risk
1065567,4475,4475,15.27,155.72,3,43680,Low Risk
1065342,20000,20000,14.65,472.14,2,56000,Medium Risk
1065355,12000,12000,12.42,400.99,5,50700,Low Risk
1065348,5000,5000,12.42,167.08,2,30000,High Risk
890389,3000,3000,6.03,91.31,5,50000,Low Risk
1065142,25000,25000,19.03,648.93,10,75000,Medium Risk
1065320,18000,18000,19.03,467.23,3,90000,Medium Risk
1065304,12000,12000,9.91,386.7,10,55000,High Risk
1065180,20000,20000,15.27,695.96,10,50000,Low Risk
1065298,10000,10000,13.49,339.31,3,84000,Low Risk
1064904,15000,15000,12.42,501.23,6,155000,Low Risk
1064696,12000,12000,7.9,375.49,1,62000,Low Risk
977277,20000,13475,10.65,290.64,2,175000,Medium Risk
1065260,6300,6300,11.71,208.38,2,30000,Low Risk
1059734,20000,20000,16.77,494.59,7,50000,Medium Risk
1065110,35000,23150,17.27,578.71,8,208000,Low Risk
1047987,8250,8250,15.96,200.45,2,35004,Low Risk
1065104,20000,20000,12.69,451.9,7,85000,Medium Risk
1065103,10000,10000,11.71,330.76,5,32000,High Risk
1065254,24000,24000,8.9,762.08,10,116400,High Risk
1064873,14400,14400,12.69,483.05,9,40000,Low Risk
1065244,6000,6000,14.65,206.97,7,34000,Low Risk
1064969,22000,22000,15.96,773.03,5,73000,Low Risk
1059620,12000,12000,11.71,396.92,10,57200,High Risk
1032978,16000,16000,16.77,568.62,1,114000,Low Risk
1065234,10000,10000,10.65,325.74,10,90000,Low Risk
1064958,16000,11625,19.03,301.76,8,54000,Low Risk
1065196,10000,10000,12.69,335.45,2,35000,High Risk
1065199,3500,3500,13.49,118.76,7,56000,Low Risk
1065195,9600,9600,9.91,309.36,5,35000,Low Risk
1065020,9875,9875,7.9,309,10,40000,Low Risk
1065016,21500,16975,17.58,427.19,2,59000,Low Risk
1064924,4800,4800,7.9,150.2,6,48000,Low Risk
1064940,7800,7800,6.03,237.4,10,85000,Low Risk
1064932,20000,20000,14.27,686.18,10,70000,Low Risk
1062248,9750,9750,7.51,303.34,4,35000,High Risk
1064985,18000,15050,15.96,365.67,6,91000,Low Risk
1064926,5000,5000,6.03,152.18,9,30000,Low Risk
1064908,9000,9000,14.65,310.45,4,45000,Low Risk
1059118,7200,7200,7.9,225.29,1,55000,Low Risk
1064897,3000,3000,19.03,77.88,3,53004,Medium Risk
1064754,25000,25000,19.42,654.31,10,60000,High Risk
1060082,25000,25000,15.27,869.95,8,82000,Low Risk
1064736,10000,10000,15.96,351.38,10,53000,Low Risk
1064727,8875,8875,12.69,297.72,5,35360,High Risk
1042668,15550,15550,11.71,514.34,10,54000,Low Risk
1064862,17000,17000,15.27,406.85,8,65000,Medium Risk
1064711,7500,7500,12.69,251.59,5,65000,Low Risk
1032875,8875,8875,8.9,281.81,6,28800,Low Risk
1064830,4500,4500,17.27,161.05,1,42000,Low Risk
1064681,5800,5800,12.42,193.81,3,36000,Low Risk
1064383,10000,10000,11.71,330.76,2,40000,Low Risk
1064675,10000,10000,9.91,322.25,4,50000,Low Risk
1064666,14000,14000,11.71,463.07,1,52000,Low Risk
1064639,25000,25000,19.03,648.93,3,85000,Low Risk
1064636,12000,12000,8.9,381.04,3,32000,High Risk
1064805,24000,24000,7.9,750.97,6,75000,Low Risk
1064635,14000,14000,14.27,480.33,1,80000,Low Risk
1064793,12000,12000,8.9,381.04,7,40246,Low Risk
1056865,15000,15000,12.69,338.93,3,30000,High Risk
1064783,8050,8050,12.69,270.04,1,36000,High Risk
1064623,5600,5600,10.65,182.42,6,60000,Low Risk
1064792,7500,7500,9.91,241.69,3,31200,Low Risk
1062701,7000,7000,11.71,231.54,10,90000,Low Risk
1064781,5400,5400,7.9,168.97,4,40000,Low Risk
1064774,16000,16000,12.42,534.65,1,90000,Low Risk
1053765,35000,27575,12.42,619.26,9,105000,Low Risk
1064608,6000,6000,7.9,121.38,1,30084,High Risk
1064589,4125,4125,12.69,93.21,10,36000,Low Risk
1064558,9800,9800,16.29,345.95,4,67000,Low Risk
1064585,15700,15700,18.25,400.82,10,63000,Low Risk
1064548,5000,5000,6.62,153.52,1,276000,Low Risk
1064462,9900,9900,11.71,327.46,6,26400,Low Risk
1064579,15000,15000,11.71,496.14,3,68400,Low Risk
1046511,6250,6250,15.96,219.61,1,29120,Low Risk
1029191,6400,6400,16.29,225.93,1,29120,Low Risk
1064527,8850,8850,13.49,203.6,10,89122,Low Risk
1064567,12000,12000,15.27,417.58,4,54000,Low Risk
1064500,15000,15000,8.9,476.3,5,30000,Low Risk
1063899,6500,6500,14.27,223.01,4,30000,Low Risk
1057598,8000,8000,15.96,281.1,10,50000,Low Risk
1052002,30000,19825,21.28,539.47,6,92000,Low Risk
1064323,15000,15000,14.65,517.42,10,100500,Low Risk
1064317,10200,10200,14.27,349.96,3,40000,Low Risk
1064471,9000,9000,12.42,300.74,5,47000,Low Risk
1060374,6500,6500,16.29,229.46,3,68000,Low Risk
1064452,23000,23000,21.28,625.86,8,95000,Low Risk
1064453,2000,2000,7.9,62.59,4,39600,Low Risk
1064284,8000,8000,13.49,271.45,3,30000,Low Risk
1063081,8875,8875,7.51,276.11,1,30000,Low Risk
1064251,1500,1500,18.64,54.72,1,17000,High Risk
1064407,8000,8000,12.42,267.33,3,42000,Low Risk
1035800,20000,16925,14.65,399.55,10,75000,High Risk
1063678,6500,6500,11.71,215,4,42000,Low Risk
1059751,9600,9600,13.49,325.74,3,27000,Low Risk
1064386,25975,16475,12.69,372.25,10,130000,Medium Risk
1055800,10000,10000,7.9,312.91,5,46000,Low Risk
1064221,15000,15000,12.42,501.23,10,80000,Low Risk
1064210,9000,9000,6.62,276.34,3,45000,Low Risk
1064209,10000,10000,7.9,312.91,2,72500,Low Risk
1064216,14000,14000,7.9,438.07,2,30000,Low Risk
1064150,8500,8500,14.27,291.63,9,50000,High Risk
1056864,15000,15000,19.03,389.36,9,75000,Low Risk
1064146,4500,4500,15.96,158.12,5,65000,Low Risk
1064183,3000,3000,7.51,93.34,10,65000,Low Risk
1064185,10000,10000,9.91,322.25,4,120000,Low Risk
1064126,21250,21250,16.77,525.5,5,42500,Low Risk
1029473,33425,20675,13.49,475.63,2,75000,High Risk
1057239,35000,35000,19.42,916.03,8,195000,Medium Risk
1064128,7200,7200,15.27,250.55,4,54990,Low Risk
1063949,18000,18000,11.71,397.77,1,40000,High Risk
1064166,23000,23000,7.9,719.68,2,137000,Low Risk
1064133,20000,20000,16.77,494.59,10,60000,High Risk
1064094,6000,6000,17.58,151,3,30120,Medium Risk
1063505,7000,7000,8.9,222.28,1,46000,Low Risk
1063528,21000,21000,12.69,704.45,8,135000,Low Risk
1064082,13000,13000,9.91,418.93,10,65000,Low Risk
1063892,18000,18000,6.62,552.67,2,78000,Low Risk
1064061,7200,7200,6.03,219.14,5,60000,Low Risk
1063876,16500,16500,8.9,523.93,10,48000,Low Risk
1042841,8125,8125,7.9,254.24,1,25000,Low Risk
1063864,18800,18800,7.51,584.89,3,82000,Low Risk
1064051,26800,26800,19.03,982.79,10,82000,Low Risk
1063847,19200,19200,7.9,600.78,5,42000,Low Risk
1062833,12875,8475,17.58,213.28,3,27600,Low Risk
1062032,4000,4000,12.42,133.67,5,38000,Low Risk
1063843,4000,4000,16.29,141.21,4,35000,Low Risk
1063828,12000,12000,9.91,386.7,10,33000,Low Risk
1064006,2625,2625,11.71,86.83,10,52800,Low Risk
1063729,18000,18000,13.49,414.09,10,40900,Medium Risk
1062625,7000,7000,9.91,225.58,10,73882,Low Risk
1062070,11300,11300,12.69,379.06,7,36000,Low Risk
1063964,4000,4000,9.91,128.9,10,130000,Low Risk
1063804,8000,8000,6.03,243.49,10,57200,Low Risk
1063751,14400,14400,18.25,522.41,5,51871,High Risk
1063982,4375,4375,12.42,146.2,2,15000,Low Risk
1063972,4100,4100,7.51,127.56,9,70197,Low Risk
1063785,6000,6000,8.9,190.52,7,47000,Low Risk
1063788,4200,4200,17.27,105,9,43000,High Risk
1063485,4000,4000,6.62,122.82,6,120000,Low Risk
1063781,3000,3000,10.65,97.72,10,86004,High Risk
1057766,5400,5400,12.69,181.15,10,75000,Low Risk
1063778,15000,15000,16.29,529.51,1,110000,High Risk
1062818,20000,20000,18.64,514.86,3,80000,Low Risk
1042037,10400,10400,12.69,348.87,4,44000,Low Risk
1063518,4500,4500,17.58,113.25,7,51600,Low Risk
1063515,11500,11500,12.42,384.28,1,38500,Low Risk
1063524,10000,10000,6.62,307.04,4,75000,Low Risk
1063519,18225,13450,13.49,309.42,10,37320,Low Risk
1063521,3600,3600,8.9,114.32,10,55000,Low Risk
984879,18500,13250,11.71,292.81,2,100000,Low Risk
1063509,16800,16800,18.25,428.9,10,70000,Low Risk
1063693,10000,10000,17.27,357.88,8,68000,High Risk
1063700,15000,15000,18.25,544.17,10,66000,Low Risk
1056934,8000,8000,11.71,264.61,8,85000,Low Risk
1063246,25000,17950,16.77,443.89,1,83004,Low Risk
1057424,16000,16000,7.9,500.65,1,51000,High Risk
1063680,8000,8000,10.65,260.59,2,55000,Low Risk
1063679,7200,7200,7.51,224,10,47000,Low Risk
1063034,12000,12000,7.51,373.33,4,86000,Low Risk
1063448,2200,2200,15.27,76.56,10,48000,High Risk
1063431,20000,20000,12.69,451.9,10,49000,Medium Risk
1060804,28000,28000,12.42,628.81,4,85000,Low Risk
